commande_id,ref,modele,taille,quantite,prix_unitaire_mad
CMD-00230,REF-0009,Veste blanc cassé,M,1,1190
CMD-00231,REF-0009,Veste blanc cassé,M,1,1190
CMD-00232,REF-0056,Chaussures terracotta,38,1,960
CMD-00233,REF-0035,Veste beige,S,1,1140
CMD-00234,REF-0013,Blouson vert olive,M,1,700
CMD-00235,REF-0050,Caftan bordeaux,S,2,1580
CMD-00235,REF-0071,Chaussures camel,42,1,680
CMD-00235,REF-0003,Ceinture bordeaux,85,1,320
CMD-00236,REF-0044,Chemise vert olive,L,1,310
CMD-00237,REF-0046,Robe vert olive,S,1,450
CMD-00238,REF-0041,Ceinture blanc cassé,95,1,320
CMD-00238,REF-0048,Robe vert olive,L,1,450
CMD-00238,REF-0063,Ceinture ivoire,95,1,300
CMD-00239,REF-0076,Pantalon camel,44,1,300
CMD-00240,REF-0006,Foulard bleu nuit,unique,1,190
CMD-00241,REF-0006,Foulard bleu nuit,unique,1,190
CMD-00241,REF-0003,Ceinture bordeaux,85,1,320
CMD-00241,REF-0034,Sac à main vert olive,unique,1,840
CMD-00242,REF-0056,Chaussures terracotta,38,1,960
CMD-00242,REF-0011,Veste blanc cassé,XL,1,1190
CMD-00243,REF-0011,Veste blanc cassé,XL,1,1190
CMD-00244,REF-0028,Pantalon camel,42,1,550
CMD-00245,REF-0073,Pantalon camel,38,1,300
CMD-00246,REF-0010,Veste blanc cassé,L,1,1190
CMD-00247,REF-0067,Chaussures camel,38,2,680
CMD-00247,REF-0072,Sac à main noir,unique,1,1090
CMD-00248,REF-0008,Veste blanc cassé,S,1,1190
CMD-00248,REF-0024,Blouson bleu nuit,L,1,730
CMD-00249,REF-0046,Robe vert olive,S,1,450
CMD-00250,REF-0062,Ceinture ivoire,90,1,300
CMD-00251,REF-0040,Ceinture blanc cassé,90,1,320
CMD-00252,REF-0037,Veste beige,L,2,1140
CMD-00253,REF-0016,Ceinture vert olive,85,2,200
CMD-00253,REF-0073,Pantalon camel,38,1,300
CMD-00254,REF-0028,Pantalon camel,42,1,550
CMD-00255,REF-0002,Sac à main noir,unique,1,1320
CMD-00256,REF-0057,Chaussures terracotta,39,1,960
CMD-00257,REF-0061,Ceinture ivoire,85,1,300
CMD-00258,REF-0062,Ceinture ivoire,90,1,300
CMD-00258,REF-0014,Blouson vert olive,L,1,700
CMD-00258,REF-0076,Pantalon camel,44,1,300
CMD-00259,REF-0004,Ceinture bordeaux,90,1,320
CMD-00260,REF-0002,Sac à main noir,unique,1,1320
CMD-00260,REF-0024,Blouson bleu nuit,L,1,730
CMD-00261,REF-0028,Pantalon camel,42,1,550
CMD-00262,REF-0028,Pantalon camel,42,1,550
CMD-00262,REF-0031,Robe terracotta,M,1,740
CMD-00262,REF-0063,Ceinture ivoire,95,1,300
CMD-00263,REF-0046,Robe vert olive,S,1,450
CMD-00264,REF-0050,Caftan bordeaux,S,1,1580
CMD-00265,REF-0080,Ceinture gris perle,85,1,310
CMD-00266,REF-0067,Chaussures camel,38,1,680
CMD-00267,REF-0037,Veste beige,L,1,1140
CMD-00267,REF-0069,Chaussures camel,40,1,680
CMD-00268,REF-0043,Chemise vert olive,M,1,310
CMD-00269,REF-0068,Chaussures camel,39,1,680
CMD-00270,REF-0012,Blouson vert olive,S,1,700
CMD-00270,REF-0028,Pantalon camel,42,1,550
CMD-00270,REF-0073,Pantalon camel,38,1,300
CMD-00271,REF-0074,Pantalon camel,40,1,300
CMD-00272,REF-0003,Ceinture bordeaux,85,1,320
CMD-00273,REF-0071,Chaussures camel,42,1,680
CMD-00274,REF-0074,Pantalon camel,40,1,300
CMD-00275,REF-0050,Caftan bordeaux,S,1,1580
CMD-00276,REF-0003,Ceinture bordeaux,85,2,320
CMD-00277,REF-0049,Robe vert olive,XL,1,450
CMD-00278,REF-0061,Ceinture ivoire,85,1,300
CMD-00279,REF-0021,Caftan beige,L,1,1580
CMD-00280,REF-0064,Caftan noir,S,1,1030
CMD-00281,REF-0004,Ceinture bordeaux,90,1,320
CMD-00281,REF-0042,Chemise vert olive,S,1,310
CMD-00282,REF-0052,Caftan bordeaux,L,1,1580
CMD-00283,REF-0025,Sac à main blanc cassé,unique,1,840
CMD-00284,REF-0028,Pantalon camel,42,1,550
CMD-00285,REF-0021,Caftan beige,L,1,1580
CMD-00286,REF-0009,Veste blanc cassé,M,1,1190
CMD-00287,REF-0002,Sac à main noir,unique,1,1320
CMD-00288,REF-0041,Ceinture blanc cassé,95,1,320
CMD-00289,REF-0049,Robe vert olive,XL,1,450
CMD-00289,REF-0010,Veste blanc cassé,L,1,1190
CMD-00290,REF-0076,Pantalon camel,44,1,300
CMD-00291,REF-0068,Chaussures camel,39,1,680
CMD-00292,REF-0062,Ceinture ivoire,90,1,300
CMD-00293,REF-0048,Robe vert olive,L,1,450
CMD-00293,REF-0022,Blouson bleu nuit,S,1,730
CMD-00294,REF-0073,Pantalon camel,38,1,300
CMD-00295,REF-0071,Chaussures camel,42,1,680
CMD-00296,REF-0004,Ceinture bordeaux,90,1,320
CMD-00296,REF-0005,Ceinture bordeaux,95,1,320
CMD-00297,REF-0026,Pantalon camel,38,1,550
CMD-00297,REF-0061,Ceinture ivoire,85,1,300
CMD-00298,REF-0057,Chaussures terracotta,39,1,960
CMD-00298,REF-0026,Pantalon camel,38,1,550
CMD-00299,REF-0068,Chaussures camel,39,1,680
CMD-00300,REF-0073,Pantalon camel,38,1,300
CMD-00300,REF-0056,Chaussures terracotta,38,1,960
CMD-00300,REF-0026,Pantalon camel,38,1,550
CMD-00301,REF-0062,Ceinture ivoire,90,1,300
CMD-00302,REF-0022,Blouson bleu nuit,S,1,730
CMD-00302,REF-0053,Foulard bleu nuit,unique,1,90
CMD-00303,REF-0005,Ceinture bordeaux,95,1,320
CMD-00303,REF-0009,Veste blanc cassé,M,1,1190
CMD-00303,REF-0038,Veste beige,XL,1,1140
CMD-00304,REF-0025,Sac à main blanc cassé,unique,1,840
CMD-00305,REF-0079,Caftan terracotta,L,1,1940
CMD-00306,REF-0031,Robe terracotta,M,1,740
CMD-00306,REF-0014,Blouson vert olive,L,1,700
CMD-00307,REF-0077,Caftan terracotta,S,1,1940
CMD-00308,REF-0080,Ceinture gris perle,85,1,310
CMD-00309,REF-0064,Caftan noir,S,1,1030
CMD-00309,REF-0044,Chemise vert olive,L,1,310
CMD-00309,REF-0049,Robe vert olive,XL,1,450
CMD-00310,REF-0068,Chaussures camel,39,1,680
CMD-00310,REF-0024,Blouson bleu nuit,L,1,730
CMD-00311,REF-0048,Robe vert olive,L,1,450
CMD-00312,REF-0034,Sac à main vert olive,unique,1,840
CMD-00313,REF-0004,Ceinture bordeaux,90,1,320
CMD-00314,REF-0002,Sac à main noir,unique,1,1320
CMD-00314,REF-0008,Veste blanc cassé,S,1,1190
CMD-00315,REF-0007,Sac à main gris perle,unique,2,600
CMD-00315,REF-0041,Ceinture blanc cassé,95,1,320
CMD-00316,REF-0016,Ceinture vert olive,85,1,200
CMD-00317,REF-0052,Caftan bordeaux,L,1,1580
CMD-00317,REF-0048,Robe vert olive,L,1,450
CMD-00318,REF-0043,Chemise vert olive,M,1,310
CMD-00319,REF-0029,Pantalon camel,44,1,550
CMD-00319,REF-0079,Caftan terracotta,L,1,1940
CMD-00320,REF-0044,Chemise vert olive,L,2,310
